time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%,night
4/12/2019 13:49,7.67126694,ETH,IOST,Binance,Okex,1.91195946,23754,1.960441964,23729.246,0.048482504,2.535749555,0
4/12/2019 13:49,7.980049875,ETH,IOST,Kucoin,Okex,0.6123,7500,0.628403847,7491.5,0.016103847,2.63005825,0
4/12/2019 13:50,8.883954176,ETH,DASH,Coss,Binance,0.61539095,0.905,0.651067015,0.89319,0.035676065,5.797300831,0
4/12/2019 13:50,8.81748261,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.651642703,0.89319,0.036251753,5.890849229,0
4/12/2019 13:50,8.579537934,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.648604276,0.89319,0.033213326,5.397109831,0
4/12/2019 13:50,8.825129781,ETH,DASH,Coss,Okex,0.61539095,0.905,0.649969159,0.89319,0.034578209,5.618901139,0
4/12/2019 13:50,8.686923337,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.652471011,0.89319,0.037080061,6.025447844,0
4/12/2019 13:50,7.224334601,BTC,IOST,Binance,Okex,0.5,190114.0684,0.506668849,189922.9544,0.006668849,1.333769765,0
4/12/2019 13:50,3.67378342,BTC,STORJ,Binance,Coss,0.04361791,839,0.044210643,834.661,0.000592733,1.358921358,0
4/12/2019 13:51,7.633587786,BTC,IOST,Kucoin,Okex,0.12150853,46025.9938,0.126159727,45978.96781,0.004651198,3.827877363,0
4/12/2019 13:51,5.72519084,BTC,IOST,Kucoin,Bittrex,0.12150853,46025.9938,0.121956934,45978.96781,0.000448405,0.369031571,0
4/12/2019 13:53,7.426726279,ETH,IOST,Binance,Okex,0.946308,11770,1.011247181,11757.23,0.064939181,6.862372607,0
4/12/2019 13:53,6.527093596,ETH,IOST,Kucoin,Okex,1.048455082,12912.0084,1.107505435,12898.09639,0.059050353,5.632129945,0
4/12/2019 13:54,8.804541243,ETH,DASH,Coss,Binance,0.61539095,0.905,0.649381645,0.89319,0.033990695,5.523431018,0
4/12/2019 13:54,8.794541096,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.64888381,0.89319,0.03349286,5.442533698,0
4/12/2019 13:54,8.542772688,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.64858643,0.89319,0.03319548,5.394209896,0
4/12/2019 13:54,8.825129781,ETH,DASH,Coss,Okex,0.61539095,0.905,0.648334495,0.89319,0.032943545,5.353270922,0
4/12/2019 13:54,8.686960102,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.651891809,0.89319,0.036500859,5.931328447,0
4/12/2019 13:54,7.224334601,BTC,IOST,Binance,Okex,0.05471343,20963,0.057895908,20941.037,0.003182478,5.816629739,0
4/12/2019 13:54,3.873578724,BTC,STORJ,Binance,Coss,0.04832168,930,0.048961061,925.57,0.000639381,1.323175684,0
4/12/2019 13:54,1.901140684,BTC,IOST,Binance,Bittrex,0.5,190839.6947,0.503949782,190647.855,0.003949782,0.789956474,0
